YEAR,0,DY,41.2960517_-84.2273628,41.391012_-84.137842,41.53086853_-83.71882629,41.670988_-83.835347
1987,,1,7.18,7.18,7.18,7.18
1987,,2,7.11,7.11,7.11,7.11
1987,,3,7.04,7.04,7.04,7.04
1987,,4,6.97,6.97,6.97,6.97
1987,,5,6.9,6.9,6.9,6.9
1987,,6,6.84,6.84,6.84,6.84
1987,,7,6.77,6.77,6.77,6.77
1987,,8,6.7,6.7,6.7,6.7
1987,,9,6.63,6.63,6.63,6.63
1987,,10,6.56,6.56,6.56,6.56
1987,,11,6.49,6.49,6.49,6.49
1987,,12,6.42,6.42,6.42,6.42
1987,,13,6.35,6.35,6.35,6.35
1987,,14,6.29,6.29,6.29,6.29
1987,,15,6.22,6.22,6.22,6.22
1987,,16,6.15,6.15,6.15,6.15
1987,,17,6.08,6.08,6.08,6.08
1987,,18,6.02,6.02,6.02,6.02
1987,,19,5.95,5.95,5.95,5.95
1987,,20,5.88,5.88,5.88,5.88
1987,,21,5.82,5.82,5.82,5.82
1987,,22,5.75,5.75,5.75,5.75
1987,,23,5.69,5.69,5.69,5.69
1987,,24,5.63,5.63,5.63,5.63
1987,,25,5.56,5.56,5.56,5.56
1987,,26,5.5,5.5,5.5,5.5
1987,,27,5.44,5.44,5.44,5.44
1987,,28,5.37,5.37,5.37,5.37
1987,,29,5.31,5.31,5.31,5.31
1987,,30,5.25,5.25,5.25,5.25
1987,,31,5.19,5.19,5.19,5.19
1987,,1,5.13,5.13,5.13,5.13
1987,,2,5.07,5.07,5.07,5.07
1987,,3,5.02,5.02,5.02,5.02
1987,,4,4.96,4.96,4.96,4.96
1987,,5,4.9,4.9,4.9,4.9
1987,,6,4.85,4.85,4.85,4.85
1987,,7,4.79,4.79,4.79,4.79
1987,,8,4.74,4.74,4.74,4.74
1987,,9,4.68,4.68,4.68,4.68
1987,,10,4.63,4.63,4.63,4.63
1987,,11,4.58,4.58,4.58,4.58
1987,,12,4.53,4.53,4.53,4.53
1987,,13,4.48,4.48,4.48,4.48
1987,,14,4.43,4.43,4.43,4.43
1987,,15,4.38,4.38,4.38,4.38
1987,,16,4.34,4.34,4.34,4.34
1987,,17,4.29,4.29,4.29,4.29
1987,,18,4.25,4.25,4.25,4.25
1987,,19,4.2,4.2,4.2,4.2
1987,,20,4.16,4.16,4.16,4.16
1987,,21,4.12,4.12,4.12,4.12
1987,,22,4.08,4.08,4.08,4.08
1987,,23,4.05,4.05,4.05,4.05
1987,,24,4.01,4.01,4.01,4.01
1987,,25,3.97,3.97,3.97,3.97
1987,,26,3.94,3.94,3.94,3.94
1987,,27,3.9,3.9,3.9,3.9
1987,,28,3.87,3.87,3.87,3.87
1987,,29,3.84,3.84,3.84,3.84
1987,,30,3.81,3.81,3.81,3.81
1987,,1,3.78,3.78,3.78,3.78
1987,,2,3.75,3.75,3.75,3.75
1987,,3,3.73,3.73,3.73,3.73
1987,,4,3.7,3.7,3.7,3.7
1987,,5,3.68,3.68,3.68,3.68
1987,,6,3.66,3.66,3.66,3.66
1987,,7,3.63,3.63,3.63,3.63
1987,,8,3.61,3.61,3.61,3.61
1987,,9,3.6,3.6,3.6,3.6
1987,,10,3.58,3.58,3.58,3.58
1987,,11,3.56,3.56,3.56,3.56
1987,,12,3.55,3.55,3.55,3.55
1987,,13,3.54,3.54,3.54,3.54
1987,,14,3.53,3.53,3.53,3.53
